ID,Nombre,Apellido,Correo,Rol,Estado,Creado
76,Aaron,Adorno,lucas64@example.com,Operario,inactivo,"2025-07-11 10:24:53"
84,Adriana,Sanabria,bruno78@example.com,Administrador,inactivo,"2025-07-11 10:25:07"
68,África,Gastélum,quesada.luisa@example.org,Administrador,activo,"2025-07-09 21:50:36"
18,Ainhoa,Alarcón,palacios.sara@example.net,Administrador,activo,"2025-07-07 15:19:57"
42,Alba,Mireles,ichavez@example.com,Operario,activo,"2025-07-09 21:46:32"
67,Aleix,Loera,zrueda@example.com,Operario,inactivo,"2025-07-09 21:50:34"
62,Alejandro,Olivares,onaranjo@example.org,Operario,activo,"2025-07-09 21:50:27"
5,Alejandro,Gomez,alejandro@gmailc.om,Administrador,activo,"2025-07-06 22:41:14"
52,Alex,Chapa,carmona.fatima@example.org,Operario,inactivo,"2025-07-09 21:46:36"
45,Alonso,Valero,daniel.lozano@example.com,Administrador,activo,"2025-07-09 21:46:33"
32,Álvaro,Olivo,fatima.valadez@example.com,Operario,activo,"2025-07-09 21:41:34"
8,Ana,Santiago,natalia.guerra@example.com,Operario,activo,"2025-07-07 15:19:42"
50,"Ana Isabel",Arias,walmaraz@example.org,Administrador,activo,"2025-07-09 21:46:35"
58,Andrea,Magaña,conde.leire@example.org,Operario,activo,"2025-07-09 21:50:22"
74,Andres,Rondon,rondo@gmail.com,Administrador,activo,"2025-07-11 08:26:29"
2,Andres,Conde,andresrondon436@gmail.com,SuperAdmin,activo,"2025-07-06 11:05:22"
75,Andres,htab,rondon142@gmail.com,Administrador,activo,"2025-07-11 10:19:22"
73,"Andres muji",ca,andmuc@gmail.com,Funcionario,activo,"2025-07-10 20:59:56"
92,"ANDRES RONDON",CONDES,CON_DE@GMAIL.COM,Administrador,activo,"2025-07-11 21:42:17"
37,Berta,Alfonso,carreon.malak@example.com,Operario,activo,"2025-07-09 21:41:36"
80,Biel,Leiva,kzepeda@example.com,Funcionario,activo,"2025-07-11 10:25:01"
63,Blanca,Villa,nora23@example.com,Funcionario,inactivo,"2025-07-09 21:50:28"
39,Carlota,Orta,jserra@example.net,Operario,activo,"2025-07-09 21:41:37"
53,Dario,Salvador,alonso32@example.net,Operario,activo,"2025-07-09 21:46:36"
19,David,Vela,rgomez@example.com,Administrador,activo,"2025-07-07 15:19:58"
21,Diana,Medina,bonilla.andres@example.com,Funcionario,activo,"2025-07-07 15:20:01"
40,Elena,"De Jesús",pilar79@example.com,Funcionario,activo,"2025-07-09 21:41:37"
