ID,Nombre,Apellido,Correo,Rol,Estado,Creado
65,Zoe,Luevano,saul26@example.org,Operario,activo,"2025-07-09 21:50:31"
22,Zanchink,Porres,feliperuiz19862014@hotmail.com,Administrador,activo,"2025-07-07 16:06:55"
28,Yeray,Carranza,bpulido@example.net,Administrador,activo,"2025-07-09 21:41:32"
7,Víctor,Gonzáles,palomino.miguelangel@example.net,Administrador,activo,"2025-07-07 15:19:40"
26,Valeria,Bustos,oamaya@example.com,Operario,activo,"2025-07-09 21:41:32"
1,SuperAdmin,SuperAdministrador,super@admin.com,SuperAdmin,activo,"2025-07-06 11:03:56"
23,SuperAdmin,santa,suante@gmail.com,Operario,activo,"2025-07-09 21:39:19"
24,SuperAdmin,Gomez,gmaiqdqw@gmail.com,Administrador,activo,"2025-07-09 21:41:09"
59,Sofía,Vargas,lidia.ortiz@example.net,Administrador,activo,"2025-07-09 21:50:23"
91,Saúl,Villanueva,miriam73@example.org,Operario,activo,"2025-07-11 10:25:17"
36,Sara,Nájera,isaac87@example.net,Administrador,activo,"2025-07-09 21:41:36"
70,Rubén,Villegas,pcobo@example.net,Administrador,activo,"2025-07-09 21:50:38"
60,Rosario,Conde,francisco.bravo@example.com,Funcionario,activo,"2025-07-09 21:50:25"
49,Rosario,Carrasquillo,ubenito@example.net,Administrador,activo,"2025-07-09 21:46:35"
78,Pilar,Espinoza,jtirado@example.org,Operario,activo,"2025-07-11 10:24:57"
54,Pedro,Juárez,jibarra@example.org,Operario,activo,"2025-07-09 21:46:37"
31,Pau,Lázaro,dario55@example.net,Administrador,activo,"2025-07-09 21:41:34"
44,Paola,Toro,naia.sepulveda@example.com,Funcionario,activo,"2025-07-09 21:46:32"
14,Ona,Cantú,inmaculada86@example.net,Administrador,activo,"2025-07-07 15:19:51"
30,Oliver,Arguello,ana31@example.net,Operario,activo,"2025-07-09 21:41:33"
69,Olga,Valentín,erik.muro@example.net,Funcionario,activo,"2025-07-09 21:50:37"
12,Nicolás,Preciado,pons.pilar@example.com,Funcionario,activo,"2025-07-07 15:19:48"
13,Nahia,Murillo,emunguia@example.org,Funcionario,activo,"2025-07-07 15:19:49"
38,Nadia,Urías,tsanabria@example.com,Funcionario,activo,"2025-07-09 21:41:37"
87,Miguel,Pardo,xlopez@example.org,Administrador,activo,"2025-07-11 10:25:11"
33,Martina,Gracia,sonia.garay@example.org,Funcionario,activo,"2025-07-09 21:41:34"
90,Martín,Mora,zgiron@example.net,Funcionario,activo,"2025-07-11 10:25:16"
79,Marta,Bautista,xmireles@example.net,Operario,activo,"2025-07-11 10:24:59"
9,Marta,Noriega,ainara64@example.com,Funcionario,activo,"2025-07-07 15:19:43"
15,"María Carmen",Quesada,slara@example.net,Operario,activo,"2025-07-07 15:19:52"
43,Marcos,López,ander06@example.org,Administrador,inactivo,"2025-07-09 21:46:32"
17,Mar,Crespo,salma42@example.org,Operario,activo,"2025-07-07 15:19:55"
6,Luis,Carvajal,madera.carla@example.org,Administrador,activo,"2025-07-07 15:19:38"
27,Lorena,Archuleta,toro.vera@example.net,Administrador,activo,"2025-07-09 21:41:32"
41,Lola,Soliz,yaiza.hinojosa@example.com,Funcionario,activo,"2025-07-09 21:46:31"
56,Laura,Meraz,ysuarez@example.org,Operario,activo,"2025-07-09 21:46:38"
86,Lara,Cervántez,rmarin@example.org,Administrador,activo,"2025-07-11 10:25:10"
35,Laia,Navas,marcos.concepcion@example.com,Funcionario,activo,"2025-07-09 21:41:35"
4,Juanito,Gomez,juanito@gmail.com,Funcionario,activo,"2025-07-06 22:40:13"
61,Juana,Vidal,saez.jordi@example.org,Funcionario,activo,"2025-07-09 21:50:26"
48,Juan,Estévez,mejia.sofia@example.com,Administrador,activo,"2025-07-09 21:46:34"
55,"José Manuel",Mares,roberto.ledesma@example.com,Funcionario,activo,"2025-07-09 21:46:37"
20,"José Manuel",Villalpando,santos.alberto@example.com,Operario,activo,"2025-07-07 15:20:00"
82,"José Antonio",Robledo,wescobedo@example.net,Administrador,activo,"2025-07-11 10:25:04"
3,Jose,santa,josesanta@gmail.com,Operario,activo,"2025-07-06 22:39:17"
71,Jordi,Borrego,sandreu@example.com,Administrador,activo,"2025-07-09 21:50:40"
72,Jordi,Guevara,oscar.velasquez@example.com,Operario,activo,"2025-07-09 21:50:42"
46,Joel,Garrido,malmaraz@example.com,Funcionario,inactivo,"2025-07-09 21:46:33"
47,Joel,Acuña,martin.helena@example.net,Funcionario,activo,"2025-07-09 21:46:34"
83,Joel,Perea,sherrera@example.com,Funcionario,activo,"2025-07-11 10:25:05"
66,Jimena,Velázquez,isaac35@example.org,Funcionario,activo,"2025-07-09 21:50:32"
89,Ismael,Cervántez,scarrero@example.net,Administrador,activo,"2025-07-11 10:25:14"
57,Isaac,Valdez,adam.carmona@example.org,Administrador,activo,"2025-07-09 21:50:19"
77,Inés,Gálvez,sverduzco@example.net,Funcionario,activo,"2025-07-11 10:24:56"
25,Héctor,Plaza,rayan61@example.net,Funcionario,activo,"2025-07-09 21:41:31"
11,Héctor,Jimínez,carlota65@example.com,Operario,activo,"2025-07-07 15:19:46"
64,Gloria,Regalado,jon.cardenas@example.org,Administrador,activo,"2025-07-09 21:50:30"
81,Gerard,Castro,dmenchaca@example.com,Funcionario,activo,"2025-07-11 10:25:03"
88,Gerard,Sancho,castellanos.diana@example.net,Operario,activo,"2025-07-11 10:25:13"
85,Gael,Sanabria,julia29@example.net,Administrador,activo,"2025-07-11 10:25:08"
10,Gabriela,Farías,yeray32@example.net,Administrador,activo,"2025-07-07 15:19:45"
34,"Francisco Javier",Haro,claudia21@example.org,Administrador,activo,"2025-07-09 21:41:35"
29,Francisco,Olivera,wgracia@example.org,Administrador,activo,"2025-07-09 21:41:33"
51,Fernando,Rentería,jose.soto@example.com,Administrador,activo,"2025-07-09 21:46:36"
16,Elena,León,jaime47@example.org,Funcionario,activo,"2025-07-07 15:19:54"
40,Elena,"De Jesús",pilar79@example.com,Funcionario,activo,"2025-07-09 21:41:37"
21,Diana,Medina,bonilla.andres@example.com,Funcionario,activo,"2025-07-07 15:20:01"
19,David,Vela,rgomez@example.com,Administrador,activo,"2025-07-07 15:19:58"
53,Dario,Salvador,alonso32@example.net,Operario,activo,"2025-07-09 21:46:36"
39,Carlota,Orta,jserra@example.net,Operario,activo,"2025-07-09 21:41:37"
63,Blanca,Villa,nora23@example.com,Funcionario,inactivo,"2025-07-09 21:50:28"
80,Biel,Leiva,kzepeda@example.com,Funcionario,activo,"2025-07-11 10:25:01"
37,Berta,Alfonso,carreon.malak@example.com,Operario,activo,"2025-07-09 21:41:36"
92,"ANDRES RONDON",CONDES,CON_DE@GMAIL.COM,Administrador,activo,"2025-07-11 21:42:17"
73,"Andres muji",ca,andmuc@gmail.com,Funcionario,activo,"2025-07-10 20:59:56"
75,Andres,htab,rondon142@gmail.com,Administrador,activo,"2025-07-11 10:19:22"
74,Andres,Rondon,rondo@gmail.com,Administrador,activo,"2025-07-11 08:26:29"
2,Andres,Conde,andresrondon436@gmail.com,SuperAdmin,activo,"2025-07-06 11:05:22"
58,Andrea,Magaña,conde.leire@example.org,Operario,activo,"2025-07-09 21:50:22"
50,"Ana Isabel",Arias,walmaraz@example.org,Administrador,activo,"2025-07-09 21:46:35"
8,Ana,Santiago,natalia.guerra@example.com,Operario,activo,"2025-07-07 15:19:42"
32,Álvaro,Olivo,fatima.valadez@example.com,Operario,activo,"2025-07-09 21:41:34"
45,Alonso,Valero,daniel.lozano@example.com,Administrador,activo,"2025-07-09 21:46:33"
52,Alex,Chapa,carmona.fatima@example.org,Operario,inactivo,"2025-07-09 21:46:36"
5,Alejandro,Gomez,alejandro@gmailc.om,Administrador,activo,"2025-07-06 22:41:14"
62,Alejandro,Olivares,onaranjo@example.org,Operario,activo,"2025-07-09 21:50:27"
67,Aleix,Loera,zrueda@example.com,Operario,inactivo,"2025-07-09 21:50:34"
42,Alba,Mireles,ichavez@example.com,Operario,activo,"2025-07-09 21:46:32"
18,Ainhoa,Alarcón,palacios.sara@example.net,Administrador,activo,"2025-07-07 15:19:57"
68,África,Gastélum,quesada.luisa@example.org,Administrador,activo,"2025-07-09 21:50:36"
84,Adriana,Sanabria,bruno78@example.com,Administrador,inactivo,"2025-07-11 10:25:07"
76,Aaron,Adorno,lucas64@example.com,Operario,inactivo,"2025-07-11 10:24:53"
